state,avgRating,recordNum
VT,3.8333333333333335,6
RI,3.8181818181818183,11
HI,3.9285714285714284,14
ME,3.5,18
VA,3.6052631578947367,76
MI,3.697478991596639,119
ID,4.125,8
DE,4.142857142857143,7
IA,3.8260869565217392,23
MD,3.880952380952381,42
MA,3.711864406779661,118
AR,3.3636363636363638,11
IL,3.604651162790698,129
UT,3.7333333333333334,15
IN,3.5555555555555554,36
MN,3.7032967032967035,182
AZ,3.7,40
MO,3.642857142857143,28
MT,3.7,10
MS,4.0,1
NH,3.8125,16
NJ,3.943396226415094,53
PR,4.0,2
NM,3.6666666666666665,15
AK,4.5,4
TX,3.8449612403100777,129
AL,3.888888888888889,9
NC,3.85,40
ND,4.333333333333333,3
NE,4.222222222222222,9
NY,3.6551724137931036,174
GA,4.0,38
NV,4.1,10
TN,3.8974358974358974,39
CA,3.6812227074235806,458
OK,3.9375,16
OH,3.443298969072165,97
WY,4.25,4
FL,3.7142857142857144,70
SD,4.0,4
SC,3.642857142857143,14
CT,4.111111111111111,27
WV,3.857142857142857,7
DC,3.5384615384615383,13
WI,3.736111111111111,72
KY,4.0,18
KS,4.066666666666666,15
OR,4.017241379310345,58
LA,3.9375,16
WA,3.768421052631579,95
CO,3.7209302325581395,43
PA,3.8636363636363638,66
