state,avgRating,recordNum
VT,3.4444444444444446,9
RI,4.0,9
HI,4.416666666666667,12
ME,4.15,20
VA,4.322916666666667,96
MI,4.310077519379845,129
ID,3.75,8
DE,4.5,10
IA,4.172413793103448,29
MD,4.355555555555555,45
MA,4.213793103448276,145
AR,4.352941176470588,17
IL,4.308724832214765,149
UT,4.533333333333333,15
IN,4.333333333333333,33
MN,4.228813559322034,236
AZ,4.181818181818182,44
MO,4.382352941176471,34
MT,4.428571428571429,7
MS,4.333333333333333,3
NH,4.428571428571429,21
NJ,4.323529411764706,68
PR,4.75,4
NM,4.583333333333333,12
AK,4.2,5
AL,4.083333333333333,12
TX,4.284810126582278,158
NC,4.285714285714286,49
ND,4.75,4
NE,4.470588235294118,17
NY,4.172972972972973,185
GA,4.317073170731708,41
NV,4.166666666666667,12
TN,4.363636363636363,44
CA,4.335820895522388,536
OK,4.136363636363637,22
OH,4.380952380952381,105
WY,4.6,5
FL,4.420289855072464,69
SD,4.714285714285714,7
SC,4.260869565217392,23
CT,4.36734693877551,49
WV,4.0,8
DC,4.133333333333334,15
WI,4.438356164383562,73
KY,4.086956521739131,23
KS,4.136363636363637,22
OR,4.4411764705882355,68
LA,3.875,16
WA,4.243243243243243,111
CO,4.314814814814815,54
PA,4.233333333333333,90
