state,avgRating,recordNum
VT,4.222222222222222,9
RI,3.875,8
HI,3.8181818181818183,11
ME,4.08,25
VA,3.9863013698630136,73
MI,3.9183673469387754,98
ID,4.4,5
DE,4.375,8
IA,3.6956521739130435,23
MD,4.205882352941177,34
MA,3.7983193277310923,119
AR,3.75,8
IL,4.146551724137931,116
UT,4.222222222222222,18
IN,3.903225806451613,31
MN,3.932926829268293,164
AZ,4.151515151515151,33
MO,3.9473684210526314,38
MT,4.166666666666667,6
MS,4.0,1
NH,3.5833333333333335,12
NJ,3.9574468085106385,47
NM,4.222222222222222,9
AK,3.5,2
TX,3.7661290322580645,124
AL,3.5454545454545454,11
NC,4.277777777777778,36
ND,4.2,5
NE,3.909090909090909,11
NY,3.9607843137254903,153
GA,3.8076923076923075,26
NV,3.6666666666666665,12
TN,3.9,30
CA,3.965260545905707,403
OK,3.9444444444444446,18
OH,4.0344827586206895,87
WY,4.5,2
FL,3.843137254901961,51
SD,4.0,3
SC,3.611111111111111,18
CT,3.8666666666666667,30
WV,3.0,4
DC,3.75,16
WI,3.816326530612245,49
KY,3.933333333333333,15
KS,3.857142857142857,14
OR,4.26,50
LA,3.75,16
WA,3.971830985915493,71
CO,4.2,45
PA,3.9466666666666668,75
