state,avgRating,recordNum
VT,3.6666666666666665,9
RI,4.5,6
HI,3.7142857142857144,14
ME,3.5,14
VA,4.097560975609756,82
MI,4.033057851239669,121
ID,3.5714285714285716,7
DE,3.909090909090909,11
IA,3.95,20
MD,4.045454545454546,44
MA,4.0,117
AR,4.166666666666667,12
IL,4.075342465753424,146
UT,4.0,13
IN,4.1,20
MN,3.8983957219251337,187
AZ,4.205128205128205,39
MO,4.285714285714286,28
MT,3.75,4
MS,4.0,1
NH,3.625,16
NJ,4.125,56
PR,4.0,3
NM,4.0,15
AK,4.666666666666667,3
TX,4.116788321167883,137
AL,3.75,12
NC,4.131578947368421,38
ND,4.2,5
NE,4.25,8
NY,4.0710382513661205,183
GA,4.166666666666667,42
NV,4.0,10
TN,3.9473684210526314,38
CA,4.134653465346535,505
OK,4.1875,16
OH,4.030927835051546,97
WY,5.0,2
FL,4.333333333333333,69
SD,4.2,5
SC,4.0,17
CT,3.7804878048780486,41
WV,3.5714285714285716,7
DC,3.6470588235294117,17
WI,3.9846153846153847,65
KY,4.125,24
KS,4.117647058823529,17
OR,4.241379310344827,58
LA,3.3333333333333335,15
WA,4.086538461538462,104
CO,3.981132075471698,53
PA,4.045454545454546,66
