state,avgRating,recordNum
VT,4.5,4
RI,3.857142857142857,7
HI,3.875,8
ME,4.090909090909091,22
VA,4.329113924050633,79
MI,4.297029702970297,101
ID,3.875,8
DE,4.857142857142857,7
IA,4.2592592592592595,27
MD,4.037037037037037,27
MA,4.2368421052631575,114
AR,4.125,8
IL,4.36734693877551,147
UT,4.583333333333333,12
IN,4.24,25
MN,3.941798941798942,189
AZ,4.2894736842105265,38
MO,4.40625,32
MT,4.5,4
MS,5.0,1
NH,4.277777777777778,18
NJ,4.237288135593221,59
PR,4.0,1
NM,3.8125,16
AK,4.5,2
TX,4.384,125
AL,4.0,7
NC,4.102564102564102,39
ND,4.25,4
NE,4.2,10
NY,4.283505154639175,194
GA,4.15625,32
NV,4.4,10
TN,4.117647058823529,34
CA,4.301652892561983,484
OK,4.15,20
OH,4.354838709677419,93
WY,5.0,1
FL,4.345454545454546,55
SD,3.5,6
SC,4.25,16
CT,4.1891891891891895,37
WV,3.888888888888889,9
DC,4.0,19
WI,4.209677419354839,62
KY,4.2,20
KS,4.6923076923076925,13
OR,4.36,50
LA,4.7272727272727275,11
WA,4.458823529411765,85
CO,4.2444444444444445,45
PA,4.166666666666667,66
