state,avgRating,recordNum
VT,3.7142857142857144,7
RI,4.142857142857143,7
HI,3.7333333333333334,15
ME,3.6,20
VA,3.858974358974359,78
MI,3.738095238095238,126
ID,3.4,5
DE,3.9,10
IA,3.5,20
MD,3.9130434782608696,46
MA,3.6615384615384614,130
AR,3.8333333333333335,12
IL,3.7007874015748032,127
UT,3.7142857142857144,14
IN,3.8214285714285716,28
MN,3.615,200
AZ,3.738095238095238,42
MO,3.903225806451613,31
MT,3.5714285714285716,7
MS,5.0,1
NH,3.7333333333333334,15
NJ,3.9482758620689653,58
PR,4.0,2
NM,3.857142857142857,14
AK,4.25,4
TX,3.943548387096774,124
AL,3.888888888888889,9
NC,3.8780487804878048,41
ND,4.5,4
NE,4.125,16
NY,3.6277777777777778,180
GA,3.875,40
NV,3.875,16
TN,3.7948717948717947,39
CA,3.7711864406779663,472
OK,4.052631578947368,19
OH,3.843137254901961,102
WY,3.0,2
FL,4.103896103896104,77
SD,4.571428571428571,7
SC,3.9375,16
CT,3.627906976744186,43
WV,4.25,8
DC,3.3076923076923075,13
WI,3.7083333333333335,72
KY,3.85,20
KS,3.6666666666666665,15
OR,3.6129032258064515,62
LA,3.888888888888889,18
WA,3.5643564356435644,101
CO,3.869565217391304,46
PA,3.675324675324675,77
