state,avgRating,recordNum
VT,3.7142857142857144,7
RI,4.428571428571429,7
HI,4.111111111111111,9
ME,4.1,20
VA,4.2023809523809526,84
MI,4.164835164835165,91
ID,4.333333333333333,6
DE,4.2,10
IA,4.1,20
MD,4.166666666666667,36
MA,4.198630136986301,146
AR,4.0,10
UT,3.7,10
IL,3.8623853211009176,109
IN,4.277777777777778,18
MN,4.183431952662722,169
AZ,3.869565217391304,23
MO,4.295454545454546,44
MT,4.2,5
MS,4.5,2
NH,4.2105263157894735,19
NJ,4.134615384615385,52
PR,4.0,2
NM,4.090909090909091,11
AK,4.333333333333333,6
AL,4.0,4
TX,4.209302325581396,129
NC,4.046511627906977,43
ND,4.333333333333333,6
NE,3.9,10
NY,4.029940119760479,167
GA,4.129032258064516,31
NV,4.3076923076923075,13
TN,4.0,29
CA,4.111607142857143,448
OK,4.0,17
OH,4.212765957446808,94
WY,4.333333333333333,3
FL,4.117647058823529,51
SD,4.2,5
SC,4.3,10
CT,4.2727272727272725,33
WV,3.8333333333333335,6
DC,4.428571428571429,14
WI,3.978723404255319,47
KY,4.461538461538462,13
KS,4.25,12
OR,4.212765957446808,47
LA,4.0,13
WA,4.217948717948718,78
CO,4.04,50
PA,4.086956521739131,69
