state,avgRating,recordNum
VT,4.0,8
RI,4.666666666666667,6
HI,4.875,8
ME,4.333333333333333,21
VA,4.411764705882353,85
MI,4.4907407407407405,108
ID,4.4,5
DE,4.7,10
IA,4.470588235294118,17
MD,4.375,32
MA,4.423423423423423,111
AR,4.5,6
IL,4.37593984962406,133
UT,4.3,20
IN,4.451612903225806,31
MN,4.3621621621621625,185
AZ,4.4,30
MO,4.260869565217392,46
MT,3.857142857142857,7
MS,4.666666666666667,3
NH,4.533333333333333,15
NJ,4.42,50
PR,4.0,3
NM,4.785714285714286,14
AK,4.0,2
TX,4.405594405594406,143
AL,4.714285714285714,7
NC,4.575757575757576,33
ND,4.666666666666667,6
NE,5.0,8
NY,4.179775280898877,178
GA,4.285714285714286,35
NV,4.769230769230769,13
TN,4.3,30
CA,4.386574074074074,432
OK,4.5,18
OH,4.387096774193548,93
FL,4.655172413793103,58
SD,4.666666666666667,6
SC,4.230769230769231,13
CT,4.394736842105263,38
WV,4.375,8
DC,4.4375,16
WI,4.379310344827586,58
KY,4.578947368421052,19
KS,4.6,15
OR,4.470588235294118,51
LA,4.625,16
WA,4.493975903614458,83
CO,4.590909090909091,44
PA,4.391304347826087,69
