state,avgRating,recordNum
VT,3.2,10
RI,4.222222222222222,9
HI,4.4,10
ME,4.052631578947368,19
VA,4.0978260869565215,92
MI,4.122950819672131,122
ID,4.5,6
DE,4.181818181818182,11
IA,4.071428571428571,28
MD,4.044444444444444,45
MA,3.893617021276596,141
AR,4.2,15
IL,4.179856115107913,139
UT,4.052631578947368,19
IN,4.25,32
MN,3.9559471365638768,227
AZ,4.076923076923077,39
MO,4.1891891891891895,37
MT,4.333333333333333,6
MS,3.5,2
NH,4.411764705882353,17
NJ,3.7966101694915255,59
PR,4.2,5
NM,4.133333333333334,15
AL,4.461538461538462,13
TX,4.0588235294117645,153
NC,3.8846153846153846,52
ND,4.8,5
NE,4.0,17
NY,3.8247422680412373,194
GA,4.027777777777778,36
NV,3.75,16
TN,3.880952380952381,42
CA,3.9692307692307693,520
OK,3.5555555555555554,18
OH,4.0,105
WY,4.0,4
FL,4.0,73
SD,4.5,6
SC,4.133333333333334,15
CT,3.9318181818181817,44
WV,4.375,8
DC,4.142857142857143,14
WI,4.2727272727272725,77
KY,4.2,20
KS,4.0,19
OR,4.203703703703703,54
LA,3.7333333333333334,15
WA,4.081081081081081,111
CO,4.0701754385964914,57
PA,4.151898734177215,79
