state,avgRating,recordNum
VT,4.428571428571429,7
RI,4.416666666666667,12
HI,4.7272727272727275,11
ME,4.391304347826087,23
VA,4.617283950617284,81
MI,4.467889908256881,109
ID,4.25,4
DE,4.6,10
IA,4.454545454545454,22
MD,4.282051282051282,39
MA,4.467741935483871,124
AR,4.416666666666667,12
IL,4.539130434782609,115
UT,4.65,20
IN,4.470588235294118,34
MN,4.3686868686868685,198
AZ,4.378378378378378,37
MO,4.45945945945946,37
MT,4.75,4
MS,5.0,1
NH,4.7272727272727275,22
NJ,4.508196721311475,61
PR,5.0,1
NM,4.583333333333333,12
AK,4.0,1
TX,4.571428571428571,126
AL,4.777777777777778,9
NC,4.425,40
ND,4.2,5
NE,4.428571428571429,14
NY,4.454545454545454,154
GA,4.628571428571429,35
NV,4.266666666666667,15
TN,4.410256410256411,39
CA,4.465065502183406,458
OK,4.764705882352941,17
OH,4.385542168674699,83
WY,4.666666666666667,3
FL,4.522388059701493,67
SD,4.5,4
SC,4.523809523809524,21
CT,4.666666666666667,36
WV,4.0,6
DC,4.416666666666667,12
WI,4.524590163934426,61
KY,4.533333333333333,15
KS,4.5,16
OR,4.645833333333333,48
LA,3.9166666666666665,12
WA,4.4945054945054945,91
CO,4.333333333333333,48
PA,4.466666666666667,75
