state,avgRating,recordNum
RI,3.6,5
VT,4.0,8
HI,3.857142857142857,7
ME,4.411764705882353,17
VA,4.373134328358209,67
MI,4.321428571428571,84
ID,3.857142857142857,7
DE,4.375,8
IA,4.357142857142857,28
MD,4.064516129032258,31
MA,4.291666666666667,120
AR,4.0,10
IL,4.255813953488372,129
UT,4.444444444444445,9
IN,4.333333333333333,21
MN,4.132075471698113,159
AZ,4.176470588235294,34
MO,4.310344827586207,29
MT,4.75,4
MS,3.0,1
NH,4.1875,16
NJ,4.228070175438597,57
PR,3.0,1
NM,4.666666666666667,6
AK,3.5,2
TX,4.186440677966102,118
AL,3.8333333333333335,6
NC,4.09375,32
ND,4.666666666666667,3
NE,3.888888888888889,9
NY,4.166666666666667,162
GA,4.379310344827586,29
NV,4.5,10
TN,4.212121212121212,33
CA,4.18859649122807,456
OK,4.3125,16
OH,4.035294117647059,85
WY,4.25,4
FL,4.245283018867925,53
SD,5.0,2
SC,4.5,12
CT,4.303030303030303,33
WV,4.5,6
DC,4.3125,16
WI,4.081632653061225,49
KY,4.2,15
KS,4.0,13
OR,4.428571428571429,49
LA,4.533333333333333,15
WA,4.314606741573034,89
CO,4.133333333333334,45
PA,4.258064516129032,62
