state,avgRating,recordNum
VT,4.2,5
RI,3.857142857142857,7
HI,3.7142857142857144,14
ME,3.75,20
VA,4.243589743589744,78
MI,4.202020202020202,99
ID,4.5,6
DE,4.0,10
IA,4.4,20
MD,4.048780487804878,41
MA,4.188118811881188,101
AR,4.538461538461538,13
IL,4.243697478991597,119
UT,4.363636363636363,11
IN,4.310344827586207,29
MN,4.222222222222222,180
AZ,4.333333333333333,36
MO,4.5588235294117645,34
MT,4.571428571428571,7
MS,5.0,1
NH,4.352941176470588,17
NJ,4.245283018867925,53
PR,4.5,2
NM,4.5,14
AK,4.5,4
TX,4.315068493150685,146
AL,4.533333333333333,15
NC,4.3076923076923075,39
ND,4.5,6
NE,4.5,12
NY,4.170731707317073,164
GA,4.378378378378378,37
NV,4.25,8
TN,4.257142857142857,35
CA,4.109813084112149,428
OK,4.352941176470588,17
OH,4.224489795918367,98
WY,4.666666666666667,3
FL,4.363636363636363,77
SD,4.666666666666667,9
SC,4.380952380952381,21
CT,4.230769230769231,26
WV,4.166666666666667,6
DC,4.333333333333333,12
WI,4.448275862068965,58
KY,4.5,18
KS,4.357142857142857,14
OR,4.1063829787234045,47
LA,4.642857142857143,14
WA,4.108108108108108,74
CO,4.285714285714286,49
PA,4.273809523809524,84
