state,avgRating,recordNum
VT,4.5,8
RI,4.375,8
HI,4.181818181818182,11
ME,4.153846153846154,26
VA,4.535714285714286,84
MI,4.4423076923076925,104
ID,3.2857142857142856,7
DE,4.8,10
IA,4.407407407407407,27
MD,4.125,40
MA,4.23015873015873,126
AR,4.0,13
IL,4.373239436619718,142
UT,3.8333333333333335,12
IN,4.424242424242424,33
MN,4.3224043715847,183
AZ,4.212121212121212,33
MO,4.294117647058823,34
MT,4.0,6
MS,4.5,2
NH,4.75,16
NJ,4.5,58
PR,4.5,4
NM,4.2,10
AK,4.0,4
TX,4.3307692307692305,130
AL,4.5,8
NC,4.523809523809524,42
ND,4.25,4
NE,4.583333333333333,12
NY,4.391061452513966,179
GA,4.303030303030303,33
NV,3.7333333333333334,15
TN,4.555555555555555,36
CA,4.310924369747899,476
OK,4.411764705882353,17
OH,4.465346534653466,101
FL,4.32258064516129,62
SD,4.75,4
SC,4.0,19
CT,4.6,40
WV,4.222222222222222,9
DC,4.5625,16
WI,4.409836065573771,61
KY,4.68,25
KS,4.411764705882353,17
OR,4.2745098039215685,51
LA,4.466666666666667,15
WA,4.095238095238095,84
CO,4.395833333333333,48
PA,4.523809523809524,63
