state,avgRating,recordNum
VT,3.75,4
RI,4.0,11
HI,3.8333333333333335,12
ME,3.7777777777777777,27
VA,3.988235294117647,85
MI,4.025,120
ID,4.2,5
DE,3.8,10
IA,3.92,25
MD,3.9285714285714284,42
MA,4.023255813953488,129
AR,3.4615384615384617,13
IL,3.939655172413793,116
UT,4.2,15
IN,4.333333333333333,30
MN,4.0,196
AZ,4.285714285714286,42
MO,4.048780487804878,41
MT,4.166666666666667,6
MS,4.666666666666667,3
NH,3.8636363636363638,22
NJ,4.174603174603175,63
PR,4.5,2
NM,3.8,15
AK,5.0,1
TX,3.9407407407407407,135
AL,4.0,9
NC,3.864864864864865,37
ND,4.0,3
NE,4.2727272727272725,11
NY,4.0,160
GA,4.0,33
NV,3.8666666666666667,15
TN,3.8181818181818183,44
CA,3.9218390804597703,435
OK,3.9047619047619047,21
OH,4.038461538461538,104
WY,3.5,2
FL,4.106060606060606,66
SD,4.0,6
SC,3.8,15
CT,3.761904761904762,42
WV,3.375,8
DC,3.588235294117647,17
WI,4.014285714285714,70
KY,3.8947368421052633,19
KS,4.052631578947368,19
OR,4.076923076923077,52
LA,3.5833333333333335,12
WA,4.121951219512195,82
CO,4.069767441860465,43
PA,4.230769230769231,78
