movieID,avgRating,recordNum,avgMale,numMale,avgFemale,numFemale,avgAge0,numAge0,avgAge1,numAge1,avgAge2,numAge2,avgAge3,numAge3,avgAge4,numAge4,avgAge5,numAge5,avgAge6,numAge6
1,4.146846413095811,2077,4.1305518169582776,1486,4.187817258883249,591,3.919642857142857,112,4.017857142857143,448,4.20126582278481,790,4.302600472813239,423,4.104895104895105,143,4.092592592592593,108,3.8867924528301887,53
2,3.20114122681883,701,3.1752380952380954,525,3.278409090909091,176,3.388888888888889,36,2.9935064935064934,154,3.1455938697318007,261,3.3076923076923075,143,3.480769230769231,52,3.3555555555555556,45,3.5,10
3,3.01673640167364,478,2.9941520467836256,342,3.073529411764706,136,3.5,18,3.0841121495327104,107,2.971590909090909,176,2.962962962962963,81,3.1818181818181817,33,2.8181818181818183,33,2.933333333333333,30
4,2.7294117647058824,170,2.4823529411764707,85,2.976470588235294,85,3.3333333333333335,3,2.5128205128205128,39,2.727272727272727,77,2.7142857142857144,28,3.0833333333333335,12,3.142857142857143,7,2.75,4
5,3.0067567567567566,296,2.8882978723404253,188,3.212962962962963,108,3.4,15,2.8615384615384616,65,2.9401709401709404,117,3.1551724137931036,58,3.0,18,3.05,20,3.6666666666666665,3
6,3.8787234042553194,940,3.909987669543773,811,3.682170542635659,129,3.9047619047619047,21,4.027149321266968,221,3.9110576923076925,416,3.759493670886076,158,3.7111111111111112,45,3.576923076923077,52,3.7037037037037037,27
7,3.410480349344978,458,3.267716535433071,254,3.588235294117647,204,3.4285714285714284,14,3.5,74,3.311111111111111,180,3.4895833333333335,96,3.4390243902439024,41,3.6129032258064515,31,3.227272727272727,22
8,3.014705882352941,68,2.775,40,3.357142857142857,28,3.1666666666666665,12,2.76,25,2.923076923076923,13,3.6,10,3.3333333333333335,3,2.6666666666666665,3,3.0,2
9,2.656862745098039,102,2.717391304347826,92,2.1,10,2.6666666666666665,3,2.7419354838709675,31,2.3658536585365852,41,2.9375,16,2.8333333333333335,6,3.0,3,4.0,2
10,3.5405405405405403,888,3.553050397877984,754,3.470149253731343,134,4.0227272727272725,44,3.560185185185185,216,3.4356164383561643,365,3.5815602836879434,141,3.5636363636363635,55,3.6666666666666665,48,3.526315789473684,19
11,3.7938044530493706,1033,3.7186544342507646,654,3.9234828496042216,379,3.4761904761904763,21,3.6939890710382515,183,3.734848484848485,396,3.8483412322274884,211,3.988888888888889,90,3.975,80,3.8846153846153846,52
12,2.3625,160,2.25,132,2.892857142857143,28,3.6,10,2.44,50,1.8461538461538463,52,2.6818181818181817,22,2.6666666666666665,9,2.4,10,2.4285714285714284,7
13,3.2626262626262625,99,3.112676056338028,71,3.642857142857143,28,3.090909090909091,11,2.9523809523809526,21,3.08,25,3.5161290322580645,31,3.6666666666666665,6,3.8,5,NaN,0
14,3.542483660130719,153,3.496,125,3.75,28,3.75,4,3.4,25,3.4307692307692306,65,3.6785714285714284,28,3.4444444444444446,18,4.125,8,4.2,5
15,2.458904109589041,146,2.3412698412698414,126,3.2,20,1.8,5,2.3703703703703702,27,2.1724137931034484,58,2.7037037037037037,27,3.142857142857143,14,2.9166666666666665,12,2.6666666666666665,3
16,3.7932551319648096,682,3.8378870673952643,549,3.6090225563909772,133,4.2727272727272725,11,4.027777777777778,144,3.782477341389728,331,3.6666666666666665,105,3.526315789473684,38,3.4444444444444446,36,3.823529411764706,17
17,4.027544910179641,835,3.819277108433735,415,4.233333333333333,420,3.75,16,3.982905982905983,117,4.010238907849829,293,4.0,186,4.191011235955056,89,4.096385542168675,83,4.019607843137255,51
18,3.337579617834395,157,3.3615384615384616,130,3.2222222222222223,27,2.3333333333333335,3,3.56,50,3.3703703703703702,81,3.0,16,3.0,2,1.6666666666666667,3,3.5,2
19,2.480719794344473,389,2.5433333333333334,300,2.269662921348315,89,2.6666666666666665,21,2.5945945945945947,111,2.510344827586207,145,2.4285714285714284,56,2.3181818181818183,22,1.9545454545454546,22,2.25,12
20,2.5375,160,2.5310344827586206,145,2.6,15,2.0,3,2.4318181818181817,44,2.6,70,2.5357142857142856,28,2.5,6,2.6666666666666665,6,3.0,3
21,3.6238938053097347,1356,3.630841121495327,1070,3.597902097902098,286,3.576923076923077,26,3.6132075471698113,212,3.557046979865772,596,3.651851851851852,270,3.798076923076923,104,3.75,104,3.727272727272727,44
