userID,movieID,rating
5501,585,2
5501,586,2
5501,587,3
5501,589,4
5501,1,4
5501,7,3
5501,2064,4
5501,2067,4
5501,590,4
5501,597,4
5501,3016,3
5501,2070,3
5501,2072,3
5501,2076,5
5501,1422,3
5501,1425,5
5501,2088,2
5501,3032,3
5501,3033,2
5501,2091,1
5501,903,4
5501,904,5
5501,2095,2
5501,3040,2
5501,3042,1
5501,3044,4
5501,3045,3
5501,1441,3
5501,911,4
5501,912,4
5501,913,4
5501,915,3
5501,1449,5
5501,916,5
5501,920,4
5501,921,4
5501,924,5
5501,2401,4
5501,2402,3
5501,3060,4
5501,2404,2
5501,2405,2
5501,2406,3
5501,2407,4
5501,2408,1
5501,3066,2
5501,933,4
5501,2413,3
5501,3070,4
5501,2414,4
5501,3072,5
5501,2416,1
5501,2423,4
5501,2424,3
5501,3087,3
5501,3088,3
5501,951,5
5501,1485,3
5501,2431,1
5501,968,4
5501,969,5
5501,2447,3
5501,2454,3
5501,2455,3
5501,1805,4
5501,2463,3
5501,2467,3
5501,2468,3
5501,2469,5
5501,991,4
5501,2470,3
5501,2472,3
5501,1816,1
5501,2476,2
5501,2478,5
5501,3421,4
5501,3424,5
5501,1821,3
5501,2485,3
5501,216,1
5501,1831,2
5501,2492,4
5501,223,3
5501,3441,1
5501,3448,3
5501,1845,3
5501,231,4
5501,233,3
5501,234,1
5501,235,5
5501,1855,2
5501,247,4
5501,252,2
5501,253,3
5501,256,1
5501,3471,5
5501,3476,1
5501,3479,2
5501,1876,4
5501,260,3
5501,3481,3
5501,1882,2
5501,1883,3
5501,1884,3
5501,3489,2
5501,1885,5
5501,1888,2
5501,3497,3
5501,1894,2
5501,3499,3
5501,2851,1
5501,2858,5
5501,1127,4
5501,2867,3
5501,1128,3
5501,2870,3
5501,2872,4
5501,1135,3
5501,1136,5
5501,2879,1
5501,2880,1
5501,610,3
5501,619,1
5501,2890,4
5501,2891,4
5501,2100,3
5501,2108,4
5501,2109,3
5501,2110,3
5501,2111,3
5501,2116,3
5501,2117,3
5501,1171,5
5501,1175,5
5501,1179,4
5501,648,3
5501,2124,3
5501,1183,3
5501,653,3
5501,2133,3
5501,2134,3
5501,2136,3
5501,1196,4
5501,663,3
5501,1197,4
5501,1199,4
5501,2143,2
5501,2144,4
5501,2145,5
5501,2147,3
5501,671,4
5501,2150,1
5501,2155,4
5501,3104,5
5501,1500,3
5501,1503,1
5501,3108,4
5501,2161,1
5501,2162,1
5501,2167,4
5501,692,1
5501,3113,1
5501,3114,5
5501,1513,3
5501,2170,1
5501,2174,5
5501,1527,3
5501,3130,3
5501,2193,3
5501,3144,3
5501,2502,2
5501,3160,4
5501,2504,3
5501,1569,3
5501,2518,3
5501,3176,4
5501,3177,1
5501,2527,4
5501,2528,3
5501,1580,2
5501,2529,4
5501,1586,3
5501,1589,3
5501,1590,1
5501,2539,3
5501,1597,1
5501,2541,3
5501,2546,2
5501,2552,1
5501,3504,4
5501,3508,4
5501,2560,3
5501,1904,4
5501,1909,3
5501,2567,3
5501,2571,5
5501,2572,3
5501,1916,1
5501,1917,2
5501,1918,2
5501,3524,3
5501,1921,5
5501,3527,4
5501,1923,4
5501,2580,4
5501,2581,3
5501,316,4
5501,317,2
5501,322,4
5501,2599,5
5501,327,1
5501,329,3
5501,1944,3
5501,333,2
5501,11,3
5501,339,3
5501,19,2
5501,1958,4
5501,342,4
5501,1959,5
5501,21,3
5501,344,4
5501,29,4
5501,2908,5
5501,1960,4
5501,1967,3
5501,1968,4
5501,32,5
5501,356,5
5501,34,4
5501,357,4
5501,39,3
5501,2915,4
5501,2916,3
5501,2918,4
5501,3576,4
5501,41,4
5501,45,4
5501,367,3
5501,2921,4
5501,2926,3
5501,370,3
5501,371,3
5501,372,3
5501,52,4
5501,3591,3
5501,3593,1
5501,1994,5
5501,380,4
5501,1997,3
5501,383,3
5501,69,1
5501,1200,5
5501,1201,5
5501,2941,3
5501,2944,4
5501,1206,4
5501,1208,5
5501,70,3
5501,1210,3
5501,1211,3
5501,1212,4
5501,2953,2
5501,1214,5
5501,1215,3
5501,1217,4
5501,1219,5
5501,86,3
5501,88,2
5501,1220,4
5501,1222,5
5501,1224,5
5501,2968,4
5501,1230,5
5501,1233,4
5501,708,3
5501,1240,4
5501,1241,4
5501,1242,4
5501,2985,3
5501,2987,4
5501,719,3
5501,1250,5
5501,1252,5
5501,1253,4
5501,1256,4
5501,1257,4
5501,2997,5
5501,1258,5
5501,728,5
5501,2206,3
5501,1262,5
5501,1263,5
5501,1265,4
5501,1266,5
5501,1267,5
5501,1269,4
5501,1270,4
5501,1272,5
5501,1274,3
5501,1278,5
5501,748,2
5501,1283,4
5501,750,5
5501,1285,4
5501,1288,4
5501,2232,2
5501,1292,4
5501,1294,4
5501,762,2
5501,1297,4
5501,1299,4
5501,2245,3
5501,2247,2
5501,2248,4
5501,2249,3
5501,2252,2
5501,2253,2
5501,2259,1
5501,780,4
5501,788,1
5501,3203,3
5501,3208,1
5501,2261,2
5501,2262,4
5501,3210,4
5501,1614,4
5501,1617,4
5501,2288,4
5501,2289,5
5501,2295,4
5501,2296,1
5501,3243,2
5501,3244,3
5501,1641,5
5501,3247,4
5501,1645,3
5501,1648,3
5501,3251,3
5501,3255,3
5501,1653,3
5501,3258,3
5501,2600,3
5501,3261,4
5501,2605,3
5501,3262,3
5501,3263,1
5501,3264,3
5501,3268,1
5501,3269,3
5501,2615,3
5501,1670,4
5501,1676,3
5501,2628,1
5501,3285,4
5501,1690,2
5501,1696,4
5501,2640,3
5501,2641,1
5501,2642,2
5501,2643,1
5501,2657,2
5501,3608,4
5501,2662,4
5501,2664,3
5501,2670,4
5501,405,1
5501,2683,2
5501,413,1
5501,2686,5
5501,419,2
5501,3638,2
5501,2690,3
5501,2692,5
5501,2693,4
5501,2694,2
5501,2699,2
5501,427,2
5501,432,2
5501,433,2
5501,435,2
5501,440,4
5501,442,1
5501,444,2
5501,445,2
5501,451,3
5501,3671,5
5501,466,2
5501,3681,3
5501,3685,3
5501,471,5
5501,478,3
5501,3693,3
5501,3697,1
5501,3698,2
5501,480,3
5501,485,1
5501,1301,5
5501,1304,4
5501,1307,4
5501,492,4
5501,1320,3
5501,800,4
5501,1334,3
5501,804,4
5501,1345,4
5501,1346,3
5501,1347,4
5501,1350,3
5501,1356,4
5501,1359,1
5501,2301,4
5501,2302,4
5501,830,2
5501,2310,3
5501,2311,3
5501,2318,4
5501,1371,1
