3701,2987,4,966325752
3701,2059,3,966377697
3701,2997,1,1031075541
3701,588,4,966325545
3701,1,5,966291286
3701,1263,5,966377903
3701,1266,3,966291412
3701,590,3,966291561
3701,1272,5,966326612
3701,1283,4,966312088
3701,903,4,966312103
3701,1291,5,966326574
3701,904,4,1031075654
3701,1294,2,966377805
3701,912,5,1031075541
3701,919,4,966377616
3701,780,3,966377560
3701,2403,4,966312287
3701,2409,3,966312232
3701,3068,3,966325775
3701,1610,5,1031075604
3701,1625,4,966325578
3701,953,3,966326076
3701,3401,2,966325932
3701,2628,5,966312014
3701,1682,5,966291561
3701,1687,3,966312303
3701,2657,1,1031075692
3701,260,5,966312014
3701,457,5,1031075580
3701,1136,4,1031075626
3701,480,4,966326407
3701,1304,4,966325820
3701,2115,3,966326574
3701,2118,3,1031075541
3701,1196,5,966312038
3701,1198,5,966326549
3701,2150,3,1031075580
3701,1356,4,966326739
3701,1371,2,966326739
3701,1374,4,966326739
3701,1375,4,966326739
3701,1376,4,966326739
3701,1387,3,966311975
3701,1544,3,966326407
3701,3155,3,966325882
3701,2501,4,966291342
3701,1702,2,966312167
3701,2364,2,966326374
3701,1721,2,966326120
3701,3185,4,966291079
3701,1584,3,966291504
3701,150,5,966291360
3701,3512,5,1031075692
3701,2571,5,966291233
3701,329,4,966326739
3701,2748,3,966325545
3701,17,5,966291360
3701,1013,3,966377697
3701,3555,3,966291079
3701,1954,5,966312232
3701,2762,5,966291233
3701,1968,4,1031075541
3701,39,4,1031075540
3701,3578,5,966291079
3701,364,4,966291544
3701,527,3,1031075692
3701,1200,3,966377903
3701,1208,3,1031075497
3701,1210,5,966312065
3701,3753,3,966291027
3701,3755,4,1031075654
3701,1214,3,1031075497
3701,1219,4,966325610
3701,541,3,1031075541
3701,1224,5,966377805
3701,2028,4,966290794
3701,1080,2,1031075625
3701,2966,4,966291342
3701,2968,5,966326150
3701,552,3,966377501
3701,1233,5,966291207
3701,1234,4,966325842
3701,1237,5,966326304
3702,1253,4,966290135
3702,2997,5,966290173
3702,589,3,966290078
3702,1,4,966290206
3702,1270,4,966290052
3702,750,5,966290004
3702,902,3,966289913
3702,2288,2,966290107
3702,1653,4,966290135
3702,2499,4,966290190
3702,237,3,966289913
3702,2804,4,966290190
3702,3471,3,966290022
3702,260,3,966290004
3702,2891,4,966290230
3702,3699,3,966290107
3702,1301,4,966290135
3702,1196,3,966290022
3702,1197,4,966289871
3702,1199,5,966290004
3702,671,4,966290052
3702,1500,4,966290230
3702,3108,4,966290245
3702,1376,4,966290078
3702,3175,5,966290078
3702,2520,4,966289933
3702,2527,2,966290107
3702,1580,4,966290078
3702,2529,4,966290052
3702,1584,5,966290052
3702,125,5,966290229
3702,3504,5,966290230
3702,2571,4,966290107
3702,3702,2,966290004
3702,3703,2,966290022
3702,1965,5,966290107
3702,32,5,966289871
