userID,movieID,rating
4,1201,5
10,1201,2
18,1201,4
26,1201,2
33,1201,5
35,1201,4
36,1201,4
42,1201,4
48,1201,4
53,1201,5
59,1201,3
81,1201,5
87,1201,4
93,1201,4
105,1201,5
125,1201,4
129,1201,5
130,1201,5
139,1201,2
148,1201,4
150,1201,4
173,1201,4
174,1201,4
178,1201,4
186,1201,5
192,1201,5
195,1201,5
198,1201,4
202,1201,5
204,1201,3
216,1201,4
235,1201,5
236,1201,5
245,1201,3
256,1201,3
264,1201,3
274,1201,4
284,1201,4
289,1201,5
295,1201,5
299,1201,4
308,1201,4
309,1201,5
335,1201,4
348,1201,5
349,1201,4
352,1201,5
366,1201,4
374,1201,5
384,1201,5
408,1201,5
411,1201,4
412,1201,5
414,1201,3
420,1201,5
424,1201,4
437,1201,5
438,1201,4
442,1201,4
456,1201,4
461,1201,3
477,1201,4
482,1201,5
503,1201,5
518,1201,5
521,1201,4
523,1201,5
524,1201,3
526,1201,5
529,1201,5
533,1201,4
543,1201,5
544,1201,4
562,1201,3
577,1201,5
586,1201,5
588,1201,2
624,1201,4
637,1201,5
639,1201,3
646,1201,3
651,1201,4
660,1201,3
679,1201,3
696,1201,5
698,1201,4
708,1201,5
712,1201,3
713,1201,4
716,1201,5
720,1201,4
734,1201,5
749,1201,3
752,1201,4
770,1201,5
778,1201,4
796,1201,3
808,1201,3
816,1201,4
837,1201,2
839,1201,5
858,1201,5
881,1201,5
910,1201,3
911,1201,4
929,1201,5
945,1201,4
948,1201,4
949,1201,5
953,1201,5
955,1201,4
977,1201,3
981,1201,4
984,1201,4
985,1201,5
996,1201,5
1000,1201,5
1010,1201,3
1017,1201,5
1018,1201,5
1019,1201,5
1021,1201,5
1030,1201,4
1033,1201,4
1034,1201,1
1053,1201,5
1058,1201,3
1062,1201,5
1063,1201,5
1077,1201,5
1084,1201,4
1088,1201,4
1093,1201,4
1120,1201,2
1124,1201,5
1126,1201,4
1128,1201,4
1131,1201,4
1140,1201,3
1150,1201,3
