userID,movieID,rating,timeStamp
1,1,5,978824268
6,1,4,978237008
8,1,4,978233496
9,1,5,978225952
10,1,5,978226474
18,1,4,978154768
19,1,5,978555994
21,1,3,978139347
23,1,4,978463614
26,1,3,978130703
28,1,3,978985309
34,1,5,978102970
36,1,5,978061285
38,1,5,978046225
44,1,5,978019369
45,1,4,977990044
48,1,4,977975909
49,1,5,977972501
51,1,5,977947828
56,1,5,977938855
60,1,4,977931983
65,1,5,991368774
68,1,3,991376026
73,1,3,977867812
75,1,5,977851099
76,1,5,977847069
78,1,4,978570648
80,1,3,977786904
90,1,3,993872933
92,1,4,977646817
96,1,4,980563195
99,1,3,982873678
109,1,4,977519208
112,1,5,977508486
114,1,3,977506130
117,1,3,977498304
118,1,3,977501973
119,1,5,977513481
121,1,5,977459322
123,1,3,978046755
131,1,3,977453922
132,1,5,977427737
134,1,4,977845495
136,1,2,977530792
139,1,4,977360234
142,1,4,977352868
146,1,5,977348756
147,1,4,977336480
148,1,5,977335193
149,1,3,978190837
150,1,4,978161692
151,1,2,992133251
152,1,4,977268921
156,1,5,977249672
157,1,5,977249416
162,1,5,982104496
163,1,4,977213935
168,1,4,977177003
169,1,5,977199102
173,1,4,995304562
175,1,4,977113154
181,1,2,977088743
182,1,5,977085326
184,1,5,1038970374
186,1,5,977059438
187,1,4,977232655
190,1,3,977027054
193,1,4,1025569964
194,1,4,977014303
195,1,5,986048425
198,1,5,976980054
202,1,4,976939841
204,1,4,978050004
213,1,5,976900243
214,1,4,976900595
215,1,4,979174987
220,1,5,976836351
223,1,5,976832460
224,1,3,976831787
225,1,4,977257251
230,1,3,976820070
231,1,5,1040445432
232,1,4,976812596
236,1,4,976765293
237,1,4,976761905
239,1,5,993359328
243,1,4,976749399
246,1,5,976728579
255,1,4,976683184
258,1,5,976671645
263,1,4,976651989
264,1,4,976714119
271,1,4,976636109
272,1,5,976695356
273,1,5,976774952
284,1,5,976570517
293,1,2,976561599
294,1,3,976542545
299,1,3,976659877
300,1,5,976506060
301,1,5,976505707
302,1,4,976505024
306,1,3,977365910
307,1,5,976486678
308,1,4,995833809
310,1,4,976482056
314,1,4,976751685
321,1,2,976417163
325,1,5,976402092
326,1,3,977605721
329,1,3,976393427
333,1,5,996356395
337,1,4,976349046
338,1,4,976347032
340,1,4,976342108
343,1,5,1003251499
346,1,5,976334600
350,1,5,976326454
351,1,4,976677602
352,1,4,976330185
355,1,4,976321278
366,1,3,976311000
368,1,3,976311812
369,1,5,976309628
372,1,4,976548746
376,1,4,980620359
378,1,4,976302158
380,1,4,976316203
385,1,5,976300183
386,1,2,976300599
389,1,5,976298977
392,1,4,976297032
395,1,3,976299298
402,1,4,976295369
403,1,4,976304372
411,1,5,997066018
412,1,4,976294055
413,1,5,976287901
417,1,4,976285594
418,1,4,976285897
420,1,4,983206889
424,1,4,976306643
425,1,3,976282933
428,1,4,976260419
429,1,5,976258377
434,1,5,976248571
437,1,4,976277994
438,1,5,976245352
444,1,4,976240730
451,1,5,976415081
453,1,3,976232941
456,1,5,976299858
462,1,3,976230643
463,1,5,976227510
467,1,4,976226815
474,1,5,976237654
478,1,5,976941051
479,1,5,976218440
482,1,2,1002083483
490,1,4,976215478
491,1,2,976214774
495,1,3,976215194
496,1,5,976505066
499,1,3,976215021
509,1,4,976206020
516,1,3,976279416
519,1,4,979336270
523,1,5,976193525
524,1,5,976167828
528,1,5,976245400
529,1,5,977449223
531,1,5,978643765
533,1,4,976295615
536,1,5,976138606
539,1,4,976140441
541,1,5,976124683
543,1,5,976156300
546,1,4,976068943
549,1,5,976070010
550,1,5,976066733
555,1,5,976055820
556,1,4,976055729
563,1,5,976044797
566,1,3,976039064
574,1,4,975991241
575,1,4,975989029
576,1,4,975981105
577,1,5,975979958
579,1,4,975977259
583,1,5,975957743
585,1,4,975949065
588,1,3,985731996
590,1,5,975913115
595,1,4,975896378
601,1,3,975880589
605,1,5,975869440
606,1,5,975869266
610,1,5,975861277
611,1,4,977155870
613,1,5,975812101
615,1,4,975806717
620,1,4,975800651
623,1,5,975793228
624,1,3,975787681
626,1,5,975819155
628,1,4,975781783
629,1,4,975784232
630,1,4,976207250
631,1,4,975778929
634,1,5,975774591
635,1,5,979142907
637,1,5,975739154
641,1,5,1019443119
645,1,5,975715505
646,1,5,975782835
653,1,3,975700204
656,1,4,975740103
660,1,3,975690271
662,1,3,975661584
664,1,4,975992648
669,1,5,975631430
676,1,5,975649112
678,1,5,975608685
681,1,4,975603446
685,1,3,975602509
690,1,5,975584052
691,1,4,1010907849
692,1,5,975779953
696,1,4,975563075
697,1,4,975560617
698,1,3,1015123819
699,1,4,975557923
701,1,3,979094230
702,1,4,975551677
705,1,4,975547527
707,1,5,975542819
710,1,5,975540360
712,1,4,975539400
714,1,5,975535074
715,1,4,975600607
716,1,5,976500370
718,1,5,975528326
719,1,4,975528288
721,1,3,975695147
722,1,5,975524460
726,1,5,975519140
729,1,5,975512206
731,1,5,975528946
733,1,5,975481380
735,1,4,975646419
736,1,3,1045710680
737,1,3,976058569
739,1,5,975475262
743,1,3,975625123
746,1,4,975469261
749,1,5,975477144
752,1,5,975610699
753,1,5,975458133
754,1,4,975538937
755,1,4,997812961
757,1,3,975454506
761,1,4,975451381
765,1,5,975451744
770,1,4,975443050
774,1,3,975438800
776,1,5,975605122
777,1,3,975438109
780,1,4,975435937
781,1,3,975434906
783,1,4,975701689
788,1,4,975428905
791,1,5,981400121
795,1,4,975417180
798,1,3,975409257
801,1,5,975401059
802,1,5,975406133
808,1,4,975431123
809,1,3,975395592
813,1,5,975392914
816,1,3,975469547
817,1,5,975388686
822,1,5,975469145
823,1,3,975379771
832,1,3,975362713
839,1,5,975361217
840,1,5,986501545
843,1,4,975358071
844,1,4,975357399
849,1,4,975349940
851,1,4,975349655
854,1,4,975352017
855,1,4,975465974
858,1,5,975344295
865,1,4,975281416
866,1,4,975277666
869,1,5,975280276
877,1,5,975270288
880,1,5,975263581
881,1,3,975262478
885,1,5,975256222
888,1,4,975256770
889,1,4,975250071
890,1,5,975466476
891,1,5,975234143
894,1,5,975226944
895,1,3,975221333
896,1,4,975220319
899,1,4,975218175
918,1,4,978242166
924,1,4,975200860
925,1,4,975197649
926,1,5,975200372
929,1,5,975191572
931,1,4,975189541
933,1,5,975185671
934,1,5,975183970
935,1,3,975180985
936,1,4,975185622
938,1,5,975173033
940,1,4,975174566
946,1,5,975155333
948,1,3,975161991
949,1,5,975224711
951,1,5,975137937
953,1,4,975606798
954,1,4,975134874
955,1,4,975133999
956,1,4,975131154
957,1,5,977202089
963,1,4,975119749
967,1,4,975116058
973,1,4,975860648
977,1,3,975106685
979,1,4,988055769
980,1,2,975730859
983,1,4,975100822
984,1,4,975097755
985,1,4,975098627
990,1,4,975871998
996,1,4,975052910
997,1,4,975205507
1000,1,5,975041651
1001,1,4,976296608
1004,1,5,975045804
1008,1,4,975030379
1010,1,2,975220910
1014,1,3,975015612
1015,1,5,975017987
1017,1,4,975009586
1021,1,5,975008082
1029,1,4,980037417
1032,1,5,974997699
1036,1,5,974991657
1044,1,3,975570555
1045,1,4,974965960
1050,1,4,974963037
1051,1,5,974959121
1054,1,5,975101862
1055,1,5,974953210
1056,1,4,974953275
1057,1,5,974952896
1059,1,5,974953956
1061,1,5,974950066
1062,1,4,975050353
1063,1,4,974947400
1068,1,3,975015029
1072,1,5,974941593
1074,1,4,974940870
1076,1,5,974938627
1077,1,3,975986347
1084,1,3,974946785
1086,1,4,974933809
1087,1,5,974935394
1088,1,4,1037238940
1094,1,4,974929632
1096,1,4,974928303
1097,1,4,974927812
1100,1,2,974923663
1101,1,4,974923024
1107,1,5,974919979
1112,1,5,974949958
1116,1,4,974913902
1117,1,5,975691805
1120,1,4,974912041
1124,1,5,974909280
1125,1,5,974910990
1132,1,5,974888204
1137,1,4,982910756
1140,1,4,974877859
1141,1,5,1005053594
1142,1,4,974877362
1145,1,5,974873913
1150,1,2,975196744
1151,1,4,974869872
1155,1,5,974866974
1158,1,3,974864374
1164,1,3,985230399
1167,1,2,974863438
1177,1,4,974857322
1179,1,4,974867084
1181,1,3,974948836
1182,1,3,974853433
1183,1,5,974853261
1184,1,4,974855085
1193,1,3,974853178
1196,1,4,974847907
1198,1,3,974944939
1202,1,5,974856993
1203,1,5,974927279
1207,1,4,974845574
1211,1,3,976217489
1215,1,4,974842274
1220,1,3,974852190
